code,name,gender,function,country_code,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,lang,coach,sporting_relatives
1893855,CHOE Daehan,Male,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Rifle Men', '10m Air Rifle Mixed Team']",11/30/04,GWANGJU,Korea,CHANGWON,Korea,,"Baseball, bowling, photography","Athlete, student","Studies Physical Education at Kyungnam National University (Changwon, KOR)",Korean,,
1893875,IM Hana,Female,Athlete,KOR,KOR,0,0,['Shooting'],['50m Rifle 3 Positions Women'],1/1/00,HWACHEON-GUN,Korea,HWASEONG-SI,Korea,,"Listening to music, watching movies, driving",,,Korean,National: Kong Hyun Ah (KOR).<br>Club: Kang Kang Mook,
1893879,JANG Kookhee,Female,Athlete,KOR,KOR,0,0,['Shooting'],"['Skeet Women', 'Skeet Mixed Team']",2/24/00,SEOUL,Korea,GYEONGGI,Korea,Cookie,"Legos, listening to music, playing football","Athlete, student","Studies Sport Science at Chung-Ang University (Seoul, KOR)","English, Korean",Personal: Jeon Chan Sig,
1893894,KANG Geeeun,Female,Athlete,KOR,KOR,0,0,['Shooting'],['Trap Women'],10/15/90,SEOUL,Korea,GYEONGGI-DO,Korea,,Knitting,Athlete,,Korean,National: Hwa Soo Son,
1893896,KEUM Jihyeon,Female,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Rifle Women', '10m Air Rifle Mixed Team']",3/17/00,ULSAN,Korea,ULSAN,Korea,Geumjiri,Gaming,Athlete,,"English, Japanese, Korean",Personal: Kim Se Ho (KOR),
1893921,KIM Minsu,Male,Athlete,KOR,KOR,0,0,['Shooting'],"['Skeet Men', 'Skeet Mixed Team']",9/23/00,DAEGU,Korea,MUNGYEONG,Korea,Long life,"Exercising, playing games, listening to music","Athlete, soldier",,Korean,Personal: Jeon Chan Sig,
1893930,KIM Yeji,Female,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Pistol Women', '25m Pistol Women', '10m Air Pistol Mixed Team']",9/4/92,DANYANG,Korea,IMSIL,Korea,,Watching movies,Athlete,,Korean,Personal: Kwak Minsu,
1893942,LEE Bo Na,Female,Athlete,KOR,KOR,0,0,['Shooting'],['Trap Women'],7/22/81,JEONNAM,Korea,SEJONG,Korea,Bubble,Interior decorating,Athlete,,Korean,Personal: Hwa Soo Son,
1893944,LEE Eunseo,Female,Athlete,KOR,KOR,0,0,['Shooting'],['50m Rifle 3 Positions Women'],12/19/93,BUSAN,Korea,SEOSAN,Korea,,Watching baseball and e-sports,Athlete,,Korean,"National: Hong Seung Pyo (KOR).<br>Club: Park Shin-Young (KOR), Hwang Yoon Sam (KOR), Gong Hyeon Ah","Figure skater Yuna Kim (KOR), two-time Olympic singles medallist (2010 gold, 2014 silver), six-time world championship medallist (two gold, two silver, two bronze)"
1893958,LEE Wonho,Male,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Pistol Men', '10m Air Pistol Mixed Team']",8/15/99,BUSAN,Korea,CHEONGJU,Korea,Gang Ajitong,"Playing games, listening to music, singing",Athlete,"Studied Sports Health Management at Tongmyong University (Busan, KOR)","English, Korean",National: Kim Jeong Gyu (KOR).<br>Personal: Sang Won Son (KOR),
1893972,OH Ye Jin,Female,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Pistol Women', '10m Air Pistol Mixed Team']",5/10/05,JEJU,Korea,CHEONGJU,Korea,,"Singing, listening to music",Student,,,National/Club: Hong Young Ok (KOR),
1893976,PARK Hajun,Male,Athlete,KOR,KOR,0,0,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men', '10m Air Rifle Mixed Team']",4/19/00,YANGYANG,Korea,YANGYANG,Korea,Billiards,,Athlete,"Studied at Korea National Sport University (Seoul, KOR)",Korean,,
1893991,SONG Jong-Ho,Male,Athlete,KOR,KOR,0,0,['Shooting'],['25m Rapid Fire Pistol Men'],3/1/90,SEOUL,Korea,CHEONGJU,Korea,,Billiards,Athlete,Studied at the Suwon University (KOR),"English, Korean","National: Cho Hyun-Jin (KOR).<br>Club: Chae Keun-Bae (KOR), Lee Sang-Hak",
1893995,YANG Jiin,Female,Athlete,KOR,KOR,0,0,['Shooting'],['25m Pistol Women'],5/20/03,SEOUL,Korea,SEOUL,Korea,,,,,Korean,,
1894079,RZADKOWSKI Andrzej,Male,Athlete,POL,POL,0,0,['Fencing'],"[""Men's Foil Team""]",3/4/97,,,,,,,,,,,
1894080,SIESS Michal,Male,Athlete,POL,POL,0,0,['Fencing'],"[""Men's Foil Individual"", ""Men's Foil Team""]",5/10/94,,,GDANSK,Poland,,"Sports, reading, listening to music, learning Italian, cooking, politics",Armed forces athlete,Graduated in 2019 with a Master's degree in Accounting and Finance from the University of Gdansk (POL),"English, Italian, Polish",,"Father, Cezary Siess (fencing), two-time Olympian (1988, 1992). 1992 Olympic Games bronze medallist in team foil"
